日付,部位,種目,セット,重量kg,回数,RIR
2026-06-16,背中,アシストチンニング,2,25,7,
2026-06-16,背中,アシストチンニング,3,30,7,
2026-06-16,背中,アシストチンニング,4,30,8,
2026-06-16,背中,プレートローディットプルダウン,1,35,13,
2026-06-16,背中,プレートローディットプルダウン,2,35,9,
2026-06-16,背中,プレートローディットプルダウン,3,35,8,
2026-06-16,背中,プレートローディットプルダウン,4,30,8,
2026-06-16,背中,Tバーロー,1,65,12,
2026-06-16,背中,Tバーロー,2,65,8,
2026-06-16,背中,Tバーロー,3,65,7,
2026-06-16,背中,Tバーロー,4,60,8,
2026-06-18,腕,ダンベルカール,1,12,12,
2026-06-18,腕,ダンベルカール,2,12,12,
2026-06-18,腕,ダンベルカール,3,12,12,
2026-06-18,腕,ダンベルカール,4,12,12,
2026-06-18,肩,フェイスプル,1,15,15,
2026-06-18,肩,フェイスプル,2,15,11,
2026-06-18,肩,フェイスプル,3,15,10,
2026-06-18,肩,フェイスプル,4,15,15,
2026-06-18,肩,座ってやるサイドレイズ,1,6,15,
2026-06-18,肩,座ってやるサイドレイズ,2,6,11,
2026-06-18,肩,座ってやるサイドレイズ,3,6,15,
2026-06-18,肩,座ってやるサイドレイズ,4,6,15,
2026-06-18,肩,アップライトロー,1,40,10,
2026-06-18,肩,アップライトロー,2,40,8,
2026-06-18,肩,アップライトロー,3,40,6,
2026-06-18,肩,アップライトロー,4,35,8,
2026-06-18,肩,ミリタリープレス,1,40,7,
2026-06-18,肩,ミリタリープレス,2,40,5,
2026-06-18,肩,ミリタリープレス,3,40,4,
2026-06-18,肩,ミリタリープレス,4,35,6,
2026-06-18,肩,ダンベルショルダープレス,1,22,12,
2026-06-18,肩,ダンベルショルダープレス,2,22,8,
2026-06-18,肩,ダンベルショルダープレス,3,22,6,
2026-06-18,肩,ダンベルショルダープレス,4,20,6,
2026-06-20,腕,ケーブルトライセプスエクステンション,1,40,8,
2026-06-20,腕,ケーブルトライセプスエクステンション,2,35,12,
2026-06-20,腕,ケーブルトライセプスエクステンション,3,35,8,
2026-06-20,腕,ケーブルトライセプスエクステンション,4,35,8,
2026-06-20,腕,オーバーヘッドエクステンション,1,30,5,
2026-06-20,腕,オーバーヘッドエクステンション,2,25,7,
2026-06-20,腕,オーバーヘッドエクステンション,3,25,5,
2026-06-20,腕,オーバーヘッドエクステンション,4,20,8,
2026-06-20,胸,ケーブルチェスト,1,60,8,
2026-06-20,胸,ケーブルチェスト,2,60,7,
2026-06-20,胸,ケーブルチェスト,3,50,8,
2026-06-20,胸,ケーブルチェスト,4,50,8,
2026-06-20,胸,インクラインダンベルプレス,1,26,5,
2026-06-20,胸,インクラインダンベルプレス,2,22,6,
2026-06-20,胸,インクラインダンベルプレス,3,22,4,
2026-06-20,胸,マシンシーテッド手5チェストプレス,1,66,5,
2026-06-20,胸,マシンシーテッド手5チェストプレス,2,66,4,
2026-06-20,胸,マシンシーテッド手5チェストプレス,3,56,5,
2026-06-20,胸,マシンシーテッド手5チェストプレス,4,46,7,
2026-06-20,胸,ベンチプレス,1,80,8,
2026-06-20,胸,ベンチプレス,2,80,5,
2026-06-20,胸,ベンチプレス,3,80,5,
2026-06-20,腹,アブドミナル,1,55,15,
2026-06-20,腹,アブドミナル,2,55,7,
2026-06-20,腹,アブドミナル,3,55,5,
2026-06-20,腹,アブドミナル,4,50,7,
2026-06-22,背中,Tバーロー,1,65,4,
2026-06-22,背中,Tバーロー,2,55,7,
2026-06-22,背中,Tバーロー,3,55,7,
2026-06-22,背中,Tバーロー,4,55,6,
2026-06-22,背中,プレートローディットプルダウン,1,35,12,
2026-06-22,背中,プレートローディットプルダウン,2,35,9,
2026-06-22,背中,プレートローディットプルダウン,3,35,7,
2026-06-22,背中,プレートローディットプルダウン,4,30,10,
2026-06-22,背中,荷重チンニング,1,70,8,
2026-06-22,背中,荷重チンニング,2,70,6,
2026-06-22,背中,荷重チンニング,3,70,4,
2026-06-22,背中,荷重チンニング,4,60,7,
2026-06-24,脚,バーベルスクワット,1,90,6,
2026-06-24,脚,バーベルスクワット,2,90,3,
2026-06-24,脚,バーベルスクワット,3,80,8,
2026-06-24,胸,マシンシーテッド手5チェストプレス,1,56,6,
2026-06-24,胸,マシンシーテッド手5チェストプレス,2,56,5,
2026-06-24,胸,マシンシーテッド手5チェストプレス,3,46,6,
2026-06-24,胸,マシンシーテッド手5チェストプレス,4,46,5,
2026-06-24,胸,シート5手4マシンインクラインプレス,1,66,7,
2026-06-24,胸,シート5手4マシンインクラインプレス,2,66,4,
2026-06-24,胸,シート5手4マシンインクラインプレス,3,56,5,
2026-06-24,胸,シート5手4マシンインクラインプレス,4,46,7,
2026-06-24,胸,ベンチプレス,1,80,10,
2026-06-24,胸,ベンチプレス,2,85,4,
2026-06-24,胸,ベンチプレス,3,85,3,
2026-06-24,胸,ベンチプレス,4,80,4,
2026-06-24,胸,ベンチプレス,5,70,10,
2026-06-25,肩,リアデルト,1,35,5,
2026-06-25,肩,フェイスプル,1,15,15,
2026-06-25,肩,フェイスプル,2,15,14,
2026-06-25,肩,フェイスプル,3,15,13,
2026-06-25,肩,フェイスプル,4,15,10,
2026-06-25,肩,フェイスプル,5,15,10,
2026-06-25,腕,プリーチャーezバーカール,1,30,10,
2026-06-25,腕,プリーチャーezバーカール,2,30,6,
2026-06-25,腕,プリーチャーezバーカール,3,30,10,
2026-06-25,肩,座ってやるサイドレイズ,1,6,17,
2026-06-25,肩,座ってやるサイドレイズ,2,6,10,
2026-06-25,肩,座ってやるサイドレイズ,3,6,9,
2026-06-25,肩,座ってやるサイドレイズ,4,6,10,
2026-06-25,肩,アップライトロー,1,40,10,
2026-06-25,肩,アップライトロー,2,40,8,
2026-06-25,肩,アップライトロー,3,40,6,
2026-06-25,肩,アップライトロー,4,40,6,
2026-06-25,肩,ミリタリープレス,1,45,4,
2026-06-25,肩,ミリタリープレス,2,45,3,
2026-06-25,肩,ミリタリープレス,3,40,4,
2026-06-25,肩,ミリタリープレス,4,40,4,
2026-06-25,肩,ダンベルショルダープレス,1,22,11,
2026-06-25,肩,ダンベルショルダープレス,2,22,8,
2026-06-25,肩,ダンベルショルダープレス,3,22,5,
2026-06-25,肩,ダンベルショルダープレス,4,20,7,
2026-06-27,腕,ケーブルトライセプスエクステンション,1,40,10,
2026-06-27,腕,ケーブルトライセプスエクステンション,2,40,9,
2026-06-27,腕,ケーブルトライセプスエクステンション,3,40,8,
2026-06-27,腕,ケーブルトライセプスエクステンション,4,35,10,
2026-06-27,腕,オーバーヘッドエクステンション,1,30,6,
2026-06-27,腕,オーバーヘッドエクステンション,2,30,5,
2026-06-27,腕,オーバーヘッドエクステンション,3,22.5,7,
2026-06-27,腕,オーバーヘッドエクステンション,4,22.5,6,
2026-06-27,背中,ベントオーバーロー,1,60,11,
2026-06-27,背中,ベントオーバーロー,2,60,8,
2026-06-27,背中,ベントオーバーロー,3,60,10,
2026-06-27,背中,ベントオーバーロー,4,50,10,
2026-06-27,背中,Tバーロー,1,55,9,
2026-06-27,背中,Tバーロー,2,55,6,
2026-06-27,背中,Tバーロー,3,50,8,
2026-06-27,背中,Tバーロー,4,50,9,
2026-06-27,背中,プレートローディットプルダウン,1,35,12,
2026-06-27,背中,プレートローディットプルダウン,2,35,8,
2026-06-27,背中,プレートローディットプルダウン,3,35,7,
2026-06-27,背中,プレートローディットプルダウン,4,30,8,
2026-06-27,背中,荷重チンニング,1,70,8,
2026-06-27,背中,荷重チンニング,2,70,6,
2026-06-27,背中,荷重チンニング,3,70,3,
